"Code","Area","Path","Status","Reason"
"M",".gitignore",".gitignore","REVIEW",""
"M","backend/package.json","backend/package.json","REVIEW_CONFIG","Build/tooling config"
"M","backend/prisma","backend/prisma/schema/auth.prisma","REVIEW_PRISMA","Prisma schema/data/migration"
"M","backend/prisma","backend/prisma/schema/marketing.prisma","REVIEW_PRISMA","Prisma schema/data/migration"
"M","backend/scripts","backend/scripts/db-status.ts","REVIEW",""
"M","backend/src","backend/src/modules/marketing/prototype/__tests__/marketing-prototype.service.spec.ts","REVIEW_MODULE","Backend module - needs alignment with legacy ERP MOD-XX"
"M","backend/src","backend/src/modules/marketing/prototype/marketing-prototype.service.ts","REVIEW_MODULE","Backend module - needs alignment with legacy ERP MOD-XX"
"M","docs/REFACTOR-MANAGEMENT-TASK-SCHEMA.md","docs/REFACTOR-MANAGEMENT-TASK-SCHEMA.md","REVIEW",""
"M","frontend/eslint.config.mjs","frontend/eslint.config.mjs","REVIEW_CONFIG","Build/tooling config"
"M","frontend/package.json","frontend/package.json","REVIEW_CONFIG","Build/tooling config"
"M","frontend/src","frontend/src/app/(dashboard)/finance/accounting/auto-journal/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/accounting/coa/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/ap-aging/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/approvals/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/ar-hub/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/assets/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/bank-accounts/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/bank-reconciliation/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/bayar-pembelian/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/bayar-penjualan/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/bayar-sample/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/bayar/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/bills/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/budget/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/cash-in/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/cash-out/page.tsx","DROP_BUILD_ARTIFACT","Build artifact (gitignored normally)"
"M","frontend/src","frontend/src/app/(dashboard)/finance/client-escrow/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/closing/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/cogs-request/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/collections/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/compliance-asset/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/cost-variance/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/dashboard/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/dp-pembelian/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/dp-penjualan/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/dp/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/faktur-pembelian/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/faktur-penjualan/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/fund-requests/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/fund/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/invoices/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/jurnal-umum/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/jurnal/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/kas/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/laba-rugi/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/ledger/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/piutang/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/profitability/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/reports/ar-aging/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/reports/balance-sheet/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/reports/cash-flow/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/reports/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/reports/trial-balance/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/sales-orders/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/finance/transactions/page.tsx","REVIEW_FINANCE_PAGE","Finance page - check against MOD-10 / legacy spec"
"M","frontend/src","frontend/src/app/(dashboard)/legality/apj-release/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/legality/ckpb-audit/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/legality/dashboard/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/legality/inbox/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/legality/input/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/legality/master-inci/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/legality/permits/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/legality/pipeline/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/legality/records/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/marketing/management-task/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/marketing/social-tracker/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/production/audit/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/production/my-performance/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/production/operations/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/production/warehouse/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/scm/dashboard/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/scm/mrp/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/scm/purchase-approval/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/scm/purchasing/down-payment/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/scm/purchasing/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/scm/purchasing/payments/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/scm/rangkuman-kebutuhan/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/scm/receiving/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/scm/vendors/performance/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/scm/warehouse/mutation/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/warehouse/WarehouseDashboardClient.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/warehouse/adjustment/AdjustmentClient.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
"M","frontend/src","frontend/src/app/(dashboard)/warehouse/adjustment/page.tsx","REVIEW_FRONTEND_PAGE","Frontend page - check against nexerpRoute in catalog"
