"Area","Menu","Page","URL","Type","Cards","Table Columns","Inputs","View / Detail","Actions","Notes"
"Dasbor BusDev","D. Buku Tamu","D. Buku Tamu","/dashboard-guest-book","Dashboard","TOTAL LEADS 0 Total Keseluruhan; FOLLOW UP AKTIVITAS 102 Task Selesai (0%); JUMLAH MEETING 1 Offline & Online (Periode Ini); CONVERSION RATE 0.00% Lead to Deal (Close Ratio)","#, Tanggal & Waktu, Nama Klien, Meeting & PIC, Kontak, Kota, Produk Diminati, MOQ, Target Market, Kategori, Status, Aksi","Search","Modal Detail via AJAX (ajaxDetail('4289','modal-lg');)","Pending, Lihat Detail",""""""
"Dasbor Departemen","D. BusDev","D. BusDev","/dashboard-business-development","Dashboard","BD Revenue, Total Leads, Conversion Rate, AR Aging Client Summary (Widget BusDev), Card History Tetap Muncul (Bebas Filter Bulan)","BD NAME, LEADS, FOLLOW UP, CR SAMPLE, CR DEAL, CLS SAMPLE, CLS NEW CLIENT, CLS RO, ACTUAL REVENUE, STATUS | BRAND / BD, LOST VALUE | NO, BRAND & PRODUK, PELANGGAN, PIC BD, EST. VALUE, TGL SAMPLE, STATUS SAMPLE, STATUS NEGO, SALES CODE, ACTUAL VALUE","Search, users_id","—","PERLU OPTIMASI",""""" | Poin 17 & 76: Widget AR Aging terintegrasi di BusDev. Data history / card tetap muncul meskipun user berpindah filter bulan"
"Dasbor BusDev","D. Client Produksi","D. Client Produksi","/dashboard-client-production","Dashboard","14.4% SAMPLE → DEAL (344/2394) CONVERSION RATE; 72 HARI SAMPLE → SALES AVG. CLOSING TIME; Rp 28,349,206 RATA-RATA PER SALES AVG. DEAL VALUE; 66 projek","#, Pelanggan, Brand/Produk, Sales Order, BusDev, Mulai, Berakhir, Deadline, Progress, Status Projek, Desain Logo Semua Pending Process Done, HKI Semua Pending Process Done, BPOM Merk Semua Pending Process Done, BPOM NA Semua Pending Process Done, MOU Semua Pending Process Done, Desain Kemasan Semua Pending Process Done, Approval Desain Semua Pending Process Done, Bahan Baku Semua Pending Process Done, Pelunasan Semua Pending Process Done, Mixing Semua Pending Process Done, Bahan Kemas Semua Pending Process Done, Filling Semua Pending Process Done, Label Semua Pending Process Done, Box Semua Pending Process Done, Packing Semua Pending Process Done, Delivery Semua Pending Process Done, #","Filter BusDev:","Modal Detail via AJAX (ajaxDetailSales('436', 'modal-lg'))","SO-202609-000002, Delivery, Pending, Lihat, Lihat Timeline",""""""
"Dasbor BusDev","D. Client RO","D. Client RO","/dashboard-client-repeat-order","Dashboard","20 projek","#, Pelanggan, Brand/Produk, Sales Order, BusDev, Mulai, Berakhir, Deadline, Progress, Status Projek, Desain Logo Semua Pending Process Done, HKI Semua Pending Process Done, BPOM Merk Semua Pending Process Done, BPOM NA Semua Pending Process Done, MOU Semua Pending Process Done, Desain Kemasan Semua Pending Process Done, Approval Desain Semua Pending Process Done, Bahan Baku Semua Pending Process Done, Pelunasan Semua Pending Process Done, Mixing Semua Pending Process Done, Bahan Kemas Semua Pending Process Done, Filling Semua Pending Process Done, Label Semua Pending Process Done, Box Semua Pending Process Done, Packing Semua Pending Process Done, Delivery Semua Pending Process Done, #","Search, users_id","Modal Detail via AJAX (ajaxDetailSales('438', 'modal-lg'))","SO-202609-000004, Box, Pending, Done, Lihat, Lihat Timeline",""""""
"Dasbor BusDev","D. Client Sample","D. Client Sample","/dashboard-client-sample","Dashboard","322 Sedang di R&D Sample Dalam Proses; Rp 130,000,000 Pipeline Aktif Rencana Omset; 474 App. Rate: 19.80% Sample Approved; 0.04% Sample → Deal Deal Rate; Rp 0 Dari Deal Pilot Total Omset; Total Tampil: 1915 Proyek","No, Pelanggan / NPF, Info Leads, Catatan Progress, Rencana Deal, Pelacakan Sampel (Status & Revisi), Pelacakan HKI, Suggest, Negosiasi Deal, Status Akhir, Total Omset, MOQ, Rencana Omset, Rev 1, Rev 2, Rev 3, Extra, Progress HKI, Revisi Logo, Kemasan, Desain, Nilai","Filter BusDev:","—","NOT STARTED, APPROVED",""""""
"Dasbor Departemen","D. Digital Marketing","D. Digital Marketing","/dashboard-digital-marketing","Dashboard","Rp 14.500.000 Total Ads Spend (Bulan Ini); 850.000 Total Impressions; 3.5 % Rata-rata CTR; 320 Total Leads Diperoleh","Campaign, Platform, Leads, Spend","Search","—","—",""""""
"Dasbor Eksekutif","D. Eksekutif","D. Eksekutif","/dashboard-executive","Dashboard","Rp177.425.000 Omzet Penjualan (Bulan Ini) Detail Penjualan; Rp61.070.160 Total Pembelian (Bulan Ini) Detail Pembelian; 1 Klien Aktif (30 Hari Terakhir) Laporan BusDev; 0 Jadwal Produksi Selesai (Bulan Ini) Detail Produksi; Peringatan Stok Menipis 394 Jenis Barang; Tugas Karyawan Pending 1 Tugas","—","Search","—","—",""""""
"Dasbor Departemen","D. Gudang","D. Gudang","/dashboard-warehouse","Dashboard","6,116 Total Jenis Barang; 3.561.786 Total Kuantitas Stok; 394 Barang Low Stock; 319 Mutasi Bulan Ini","Kode, Nama Barang, Stok Saat Ini, Min Stok | Tanggal, No Mutasi, Tipe, Barang, Kuantitas","Search","—","—",""""""
"Dasbor Departemen","D. HR","D. HR","/dashboard-human-resources","Dashboard","—","—","—","—","—",""""""
"Dasbor","D. Jadwal Produksi","D. Jadwal Produksi","/dashboard-production-schedule","Dashboard","—","Sun Mon Tue Wed Thu Fri Sat, Sun, Mon, Tue, Wed, Thu, Fri, Sat | Sun, Mon, Tue, Wed, Thu, Fri, Sat","Search","—","Previous month, Next month, month, week, day, 30, 31, 1, [JS The Perfection of My Aura] DEAL - DAY CREAM (I CARE B) (Mixing), [JS The Perfection of My Aura] DEAL - FACE SERUM (I CARE B - ACNE) (Mixing), [JS The Perfection of My Aura] DEAL - FACE TONER - REVISI WARNA (SIRIN) (Mixing), [JS The Perfection of My Aura] DEAL - FACE WASH (FORMULA AUREA) (Mixing), 2, 3, [CONSCENTRA] Extrait De Parfum Etheris (Mixing), [CONSCENTRA] Extrait De Parfum Nyara (Mixing), 4, [CONSCENTRA] Extrait De Parfum Noctivus (Mixing), 5, 6, 7, [SIGVIOLET] DEAL - SHAMPOO SIGVIOLET (Mixing), 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",""""""
"Dasbor Departemen","D. Keuangan","Finance Overview (Dashboard)","/dashboard-finance","Dashboard","Cash Balance, AR Outstanding, Overdue AR, AP Outstanding, AP Due This Week, Net Cash Forecast 30D","Tabel Top Overdue Invoices, Tabel Pending Approvals Ringkas","Date Range Picker Custom*, Toggle Entity","Chart Cash Position & Forecast 30 hari ke depan, Chart Side-by-Side AR Aging vs AP Aging, Widget MTD vs YTD Revenue/Gross/Net Profit, Budget vs Actual Top 5 Variance, Closing Progress Bar, Exception Alerts Widget","Filter Periode, Refresh Data, Export Snapshot PDF","Read-only agregasi dari seluruh subledger; tanpa input manual"
"Dasbor Departemen","D. Legalitas","D. Legalitas","/dashboard-legality","Dashboard","45 Dokumen Aktif; 3 Akan Kadaluarsa (< 30 Hari); 1 Telah Kadaluarsa; 12 Total Perizinan Usaha","Nomor Dokumen, Nama Dokumen, Kategori, Tanggal Berlaku, Status","Search","—","—",""""""
"Dasbor BusDev","D. Lost","D. Lost","/dashboard-client-lost","Dashboard","144 item; 119 klien","NO, BRAND & PRODUK, PELANGGAN, PIC BD, EST. VALUE DEAL, TGL SAMPLE, STATUS SAMPLE, STATUS LOST | NO, NAMA PELANGGAN, LIFETIME VALUE, TOTAL TRANSAKSI, TGL TERAKHIR ORDER, JEDA TIDAK ORDER, STATUS","Search, users_id","—","Canceled, NOT STARTED",""""""
"Dasbor Eksekutif","D. Notifikasi","D. Notifikasi","/dashboard-notification","Dashboard","394 Item Stok Menipis Lihat Detail; 0 Produksi Terlambat (>7 Hari) Lihat Detail; 1817 Sample Tertunda (>14 Hari) Lihat Detail; 20 Follow-Up Terlewat Lihat Detail","—","Search","—","—",""""""
"Dasbor","D. Pelanggan","D. Pelanggan","/dashboard-customer","Dashboard","829 Total Pelanggan; 10 Pelanggan Baru; 1 Pelanggan Aktif; 0 Follow Up Pending; 0 Follow Up Bulan Ini; Rp 12,656,284,761 Total Penjualan; Rp 249,316,390 Total Sales Sample; 10 Pelanggan Tidak Aktif","#, Pelanggan, Jumlah Sales, Total Revenue | #, Pelanggan, Jumlah Sample, Total Nilai | #, Pelanggan, Telepon, Follow Up Terakhir | Tanggal, Pelanggan, Tipe, Status | Kode, Pelanggan, Nilai, Status","Search","—","Lihat Semua 50 Data",""""""
"Dasbor","D. Penjualan Barang","D. Penjualan Barang","/dashboard-sales-product","Dashboard","5 Total Bulan Ini; 0 Pending; 0 Disetujui; 252 Dalam Proses; 0 Selesai Bulan Ini; Rp 177,425,000 Nilai Bulan Ini; Rp 12,656,284,761 Total Semua Waktu; Rp 35,485,000 Rata-rata per Penjualan","#, Pelanggan, Jumlah, Total Nilai | Kode, Pelanggan, Status, Nilai","Search","—","—",""""""
"Dasbor","D. Penjualan Sample","D. Penjualan Sample","/dashboard-sales-sample","Dashboard","39 Total Bulan Ini; 0 Pending; 1,854 Dalam Proses; 61 Revisi; 0 Selesai Bulan Ini; Rp 12,180,000 Nilai Bulan Ini; Rp 249,316,390 Total Semua Waktu; Rp 312,308 Rata-rata per Sample","#, Pelanggan, Jumlah, Total Nilai | Kode, Pelanggan, Status, Nilai","Search","—","—",""""""
"Dasbor Departemen","D. Produksi","D. Produksi","/dashboard-production","Dashboard","0 Jadwal Mixing (Proses); 0 Jadwal Filling (Proses); 0 Jadwal Packaging (Proses); 0 Produksi Selesai (Bulan Ini)","Tanggal, No Realisasi, Kode Jadwal, Status","Search","—","—",""""""
"Dasbor Departemen","D. Purchasing","D. Purchasing","/dashboard-purchasing","Dashboard","176 Total Supplier Aktif; Rp61.070.160 Nilai PO Bulan Ini; 0 PR Pending; 681 PO Selesai","Supplier, Jml PO, Total Nilai (Rp) | Tanggal, No PO, Supplier, Nilai (Rp), Status","Search","—","—",""""""
"Dasbor","D. Realisasi Produksi","D. Realisasi Produksi","/dashboard-production-realization","Dashboard","—","Sun Mon Tue Wed Thu Fri Sat, Sun, Mon, Tue, Wed, Thu, Fri, Sat | Sun, Mon, Tue, Wed, Thu, Fri, Sat","Search","—","Previous month, Next month, month, week, day, 30, 31, [GHIMAROW] LUXURIOUS WHITENING BOOSTER, 250 ML (Filling), [IMOZU] Body Lotion Tone Up (Filling), [MILMICHA] Moisturizer Gel ( MILMICHA GLOW ) (Mixing), PRIORITAS EAU DE PARFUM IMOZU PINK CHIFFON (Mixing), 1, 2, 3, [JS The Perfection of My Aura] DEAL - DAY CREAM (I CARE B) (Mixing), [JS The Perfection of My Aura] DEAL - FACE WASH (FORMULA AUREA) (Mixing), 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",""""""
"Dasbor Departemen","D. RnD","D. RnD","/dashboard-rnd","Dashboard","6,116 Total Barang/Formula; 0 Permintaan Sample (Pending); 261 Sample Diproses (Approved); 474 Sample Selesai; Sampel Masuk 14; Disetujui (Done) 0; Approval Rate 0 %","Nama Formulator, Sampel Masuk, Disetujui","Periode: *","—","—",""""""
"Dasbor","D. Sample","D. Sample","/dashboard-sample","Dashboard","—","—","—","—","—",""""""
"Master","Kelola Akuntansi Biaya","Cost Allocation Setup","/cost-allocation-setup","Overhead Allocation Rules","—","Overhead Pool (misal Listrik Pabrik, QC Lab, Maintenance Mesin), Allocation Base (Machine Hours / Volume Produksi / Headcount), Formula, Active, #","Nama Pool*, Akun Biaya*, Dasar Alokasi*, Bobot Alokasi*","Simulasi distribusi pembebanan overhead ke batch mixing dan packaging","+ Buat Allocation Rule, Edit, Run Allocation Test, Simpan","Dikonfigurasi oleh Finance Controller untuk pembebanan overhead pabrik ke Job Order Costing"
"Master","Kelola Aset Tetap","Asset Register","/asset-register","Master List & Asset History","Total Nilai Perolehan Aset, Total Akumulasi Penyusutan, Total Nilai Buku Bersih (Book Value)","Asset Code (Universal Global), Name, Category, Acquisition Date, Acquisition Cost, Accum. Depreciation, Book Value, Riwayat Pembelian (History Upgrade/Repair), Location, Department, #","Filter Kategori Aset, Filter Departemen, Filter Lokasi","[Detail Aset Tetap] Sub-tab Riwayat Pembelian (History): Tanggal, Jenis Upgrade/Repair, Ref Faktur Pembelian, Amount, Keterangan • Skedul Depresiasi","+ Buat Aset, Export Excel, Lihat Detail & Histori, Transfer Lokasi, Dispose Aset","Sub-tab Purchase History mencatat penambahan nilai/kapitalisasi komponen besar, berbeda dari tabel penyusutan rutin | Poin 28-30: Riwayat pembelian pada tiap aset. Kode aset otomatis Universal (DL-FIN-AST-... urut global tanpa reset). Masa manfaat: Inventaris 4th, Motor 4th, Mobil 8th, Bangunan 20th"
"Master","Kelola Aset Tetap","Buat Asset Register","/asset-register/create","Form","—","—","Asset Code (Auto Universal Global Sequence)*, Name*, Category* (Inventaris/Motor/Mobil/Bangunan), Acquisition Date*, Cost*, Masa Manfaat (Default auto: Inventaris 4th, Motor 4th, Mobil 8th, Bangunan 20th), Location, Department","—","Kembali, Simpan","Default useful life auto-fill: Inventaris (4 thn), Motor (4 thn), Mobil (8 thn), Bangunan Permanen (20 thn) | Poin 29-30: Format kode universal global berlanjut. Masa manfaat default terstandarisasi"
"Master","Kelola Aset Tetap","Compliance / Intangible Asset","/compliance-asset","Compliance & Amortization Tracker","Sertifikasi Aktif, Mendekati Kadaluarsa (<90 Hari), Total Beban Amortisasi Bulan Ini","Cert Name, Type (BPOM / Halal / ISO), Product / Brand, Issue Date, Expiry Date, Cost, Amortization Status, Days to Expiry, #","Filter Type, Filter Expiry Status","[Detail Sertifikasi] Masa Berlaku, Dokumen Sertifikat PDF, Skedul Amortisasi Bulanan (Dr Amortization Expense, Cr Accumulated Amortization)","+ Buat Sertifikasi, Lihat, Run Amortization, Perbarui Sertifikasi","Sistem otomatis mengirimkan notifikasi reminder H-90, H-60, dan H-30 sebelum sertifikat kadaluarsa"
"Master","Kelola Barang","Kategori Barang","/goods-category-manage","Master List","—","#, Kode, Kategori, Deskripsi, #","Search, GSTable1_length","Modal Detail via AJAX (ajaxDetail(1, 'modal-lg'))","Buat, Lihat, Sunting, Hapus",""""""
"Master","Kelola Barang","Buat Kategori Barang","/goods-category-manage/create","Form","—","—","Kode * Kode unik kategori, Nama * Nama kategori barang, Deskripsi Keterangan kategori (opsional), Akun Persediaan *, Akun Penjualan *, Akun Retur Penjualan *, Akun Diskon Penjualan *, Persediaan (Perjalanan) *, Akun COGS *, Akun Retur Pembelian *, Akun Barang Belum Faktur *","—","Kembali, Simpan",""""""
